lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,,,loss_train,loss_val
,3449,0.456815243,3.094171524,0.014958709,0.132439345,22,,,,,,,,,,182,0.455818802,0.402992845
0.0001,3499,,,,,,,,,,,,,,,183,0.440144509,0.42255187
,3499,0.372639626,2.581466675,0.005260772,0.109232157,22,,,,,,,,,,184,0.464729309,0.404272169
,3541,,,,,22,0.404618114,2.833515882,0.01132454,0.109941967,,,,,,185,0.448706448,0.405422568
,3541,,,,,22,,,,,0.479467303,3.426365852,0.014498518,0.122332215,,186,0.449153215,0.409539223
0.0001,3549,,,,,,,,,,,,,,,187,0.451475263,0.415437907
,3549,0.601714313,4.868720531,0.005090834,0.109751418,23,,,,,,,,,,188,0.453103006,0.395628512
0.0001,3599,,,,,,,,,,,,,,,189,0.450485438,0.409265846
,3599,0.371281147,2.649006128,0.007777556,0.098602995,23,,,,,,,,,,190,0.458920479,0.426889211
0.0001,3649,,,,,,,,,,,,,,,191,0.455940008,0.416297227
,3649,0.493610948,3.625243902,0.008931175,0.122155398,23,,,,,,,,,,192,0.435061365,0.422955275
,3695,,,,,23,0.399350107,2.782561064,0.010196949,0.110897064,,,,,,193,0.447759718,0.404732615
,3695,,,,,23,,,,,0.463945508,3.31861186,0.01295812,0.119126245,,194,0.454577297,0.416697323
0.0001,3699,,,,,,,,,,,,,,,195,0.442129761,0.417748183
,3699,0.38430807,2.053941011,0.003278629,0.175635338,24,,,,,,,,,,196,0.459475994,0.419176906
0.0001,3749,,,,,,,,,,,,,,,197,0.437211782,0.401220441
,3749,0.276612192,1.603453159,0.003455514,0.112811387,24,,,,,,,,,,198,0.451102078,0.418575585
0.0001,3799,,,,,,,,,,,,,,,199,0.462887198,0.40348658
,3799,0.488670826,3.637740612,0.00879129,0.116105415,24,,,,,,,,,,200,0.44752115,0.410453141
0.0001,3849,,,,,,,,,,,,,,,201,,0.410453141
,3849,0.601678371,4.46428299,0.006394364,0.148855731,24,,,,,,,,,,,,
,3849,,,,,24,0.416854441,2.93321085,0.01050764,0.113025784,,,,,,,,
,3849,,,,,24,,,,,0.462476671,3.281676531,0.014603578,0.119705386,,,,
0.0001,3899,,,,,,,,,,,,,,,,,
,3899,0.441578865,3.551445961,0.015252857,0.071181402,25,,,,,,,,,,,,
0.0001,3949,,,,,,,,,,,,,,,,,
,3949,0.343543589,2.438679695,0.004488105,0.095187493,25,,,,,,,,,,,,
0.0001,3999,,,,,,,,,,,,,,,,,
,3999,0.396591961,2.880912304,0.011713782,0.096786946,25,,,,,,,,,,,,
,4003,,,,,25,0.422468692,2.938007832,0.008906196,0.119761579,,,,,,,,
,4003,,,,,25,,,,,0.471949548,3.407588482,0.012297752,0.118893214,,,,
0.0001,4049,,,,,,,,,,,,,,,,,
,4049,0.288973421,1.77372098,0.007681281,0.103920013,26,,,,,,,,,,,,
0.0001,4099,,,,,,,,,,,,,,,,,
,4099,0.414836258,3.517596245,0.013395829,0.049680792,26,,,,,,,,,,,,
0.0001,4149,,,,,,,,,,,,,,,,,
,4149,0.779369652,6.638868809,0.017721057,0.09776175,26,,,,,,,,,,,,
,4157,,,,,26,0.407664537,2.815198183,0.008697272,0.117447361,,,,,,,,
,4157,,,,,26,,,,,0.470820487,3.389234304,0.013793765,0.118103497,,,,
0.0001,4199,,,,,,,,,,,,,,,,,
,4199,0.467986643,3.360074043,0.010715236,0.121263981,27,,,,,,,,,,,,
0.0001,4249,,,,,,,,,,,,,,,,,
,4249,0.370028466,2.657347679,0.004166201,0.100127503,27,,,,,,,,,,,,
0.0001,4299,,,,,,,,,,,,,,,,,
,4299,0.283468723,1.64970839,0.03445724,0.084040619,27,,,,,,,,,,,,
,4311,,,,,27,0.404105842,2.774996042,0.011866354,0.114739947,,,,,,,,
,4311,,,,,27,,,,,0.476935595,3.458029509,0.013731262,0.117401555,,,,
0.0001,4349,,,,,,,,,,,,,,,,,
,4349,0.484579742,3.819252014,0.003124698,0.099529833,28,,,,,,,,,,,,
0.0001,4399,,,,,,,,,,,,,,,,,
,4399,0.380167961,2.594968081,0.011837392,0.108833745,28,,,,,,,,,,,,
0.0001,4449,,,,,,,,,,,,,,,,,
,4449,0.495324135,4.063990593,0.006857642,0.082067415,28,,,,,,,,,,,,
,4465,,,,,28,0.42816323,3.015291452,0.013498517,0.113135554,,,,,,,,
,4465,,,,,28,,,,,0.468293309,3.396393538,0.012205755,0.116448171,,,,
0.0001,4499,,,,,,,,,,,,,,,,,
,4499,0.368360162,2.18571949,0.007862238,0.141925946,29,,,,,,,,,,,,
0.0001,4549,,,,,,,,,,,,,,,,,
,4549,0.566901684,4.290575027,0.008499962,0.129344225,29,,,,,,,,,,,,
0.0001,4599,,,,,,,,,,,,,,,,,
,4599,0.362463892,2.583023787,0.007732439,0.096429043,29,,,,,,,,,,,,
,4619,,,,,29,0.414251,2.933615446,0.010925225,0.109964274,,,,,,,,
,4619,,,,,29,,,,,0.479403317,3.501816273,0.013967849,0.11525394,,,,
0.0001,4649,,,,,,,,,,,,,,,,,
,4649,0.434846461,2.949524403,0.017101767,0.122792244,30,,,,,,,,,,,,
0.0001,4699,,,,,,,,,,,,,,,,,
,4699,0.51057899,3.697644234,0.030250639,0.110563934,30,,,,,,,,,,,,
0.0001,4749,,,,,,,,,,,,,,,,,
,4749,0.516091168,4.029477119,0.008214623,0.104928777,30,,,,,,,,,,,,
,4773,,,,,30,0.428235948,2.951109409,0.013259569,0.119865395,,,,,,,,
,4773,,,,,30,,,,,0.46079874,3.364413261,0.012287015,0.112070501,,,,
0.0001,4799,,,,,,,,,,,,,,,,,
,4799,0.412354112,3.081623554,0.010840704,0.093351066,31,,,,,,,,,,,,
0.0001,4849,,,,,,,,,,,,,,,,,
,4849,0.283316731,1.74591136,0.010363512,0.098362088,31,,,,,,,,,,,,
0.0001,4899,,,,,,,,,,,,,,,,,
,4899,0.545534492,4.482808113,0.02475385,0.072499812,31,,,,,,,,,,,,
,4927,,,,,31,0.424367607,2.923268557,0.012736985,0.119303755,,,,,,,,
,4927,,,,,31,,,,,0.475233823,3.420502901,0.013467836,0.119715437,,,,
0.0001,4949,,,,,,,,,,,,,,,,,
,4949,0.572697461,4.288319588,0.008816272,0.135049224,32,,,,,,,,,,,,
0.0001,4999,,,,,,,,,,,,,,,,,
,4999,0.551778793,4.232055187,0.012970641,0.115602627,32,,,,,,,,,,,,
0.0001,5049,,,,,,,,,,,,,,,,,
,5049,0.373387039,2.622681141,0.008587033,0.10253188,32,,,,,,,,,,,,
,5081,,,,,32,0.408032,2.82677412,0.01322183,0.112132765,,,,,,,,
,5081,,,,,32,,,,,0.454570651,3.274527788,0.014702927,0.11241474,,,,
0.0001,5099,,,,,,,,,,,,,,,,,
,5099,0.408428133,2.868758202,0.011518827,0.110033482,33,,,,,,,,,,,,
0.0001,5149,,,,,,,,,,,,,,,,,
,5149,0.448025554,2.847297668,0.025594793,0.137701005,33,,,,,,,,,,,,
0.0001,5199,,,,,,,,,,,,,,,,,
,5199,0.442467421,3.079251051,0.028780043,0.105762266,33,,,,,,,,,,,,
,5235,,,,,33,0.394001156,2.695130825,0.010337939,0.114150137,,,,,,,,
,5235,,,,,33,,,,,0.466389835,3.345155478,0.013403515,0.118470706,,,,
0.0001,5249,,,,,,,,,,,,,,,,,
,5249,0.345187515,2.374382496,0.012822595,0.09492667,34,,,,,,,,,,,,
0.0001,5299,,,,,,,,,,,,,,,,,
,5299,0.404347837,2.660176277,0.004754764,0.133575439,34,,,,,,,,,,,,
0.0001,5349,,,,,,,,,,,,,,,,,
,5349,0.450406492,3.528298378,0.007092754,0.090483889,34,,,,,,,,,,,,
,5389,,,,,34,0.428568989,2.992791653,0.011385255,0.117904529,,,,,,,,
,5389,,,,,34,,,,,0.478865296,3.457684517,0.012221543,0.120875247,,,,
0.0001,5399,,,,,,,,,,,,,,,,,
,5399,0.356286049,2.517138481,0.007891513,0.096680693,35,,,,,,,,,,,,
0.0001,5449,,,,,,,,,,,,,,,,,
,5449,0.341550171,2.31793046,0.032083396,0.077673756,35,,,,,,,,,,,,
0.0001,5499,,,,,,,,,,,,,,,,,
,5499,0.313883424,2.237735033,0.004010937,0.086098984,35,,,,,,,,,,,,
,5543,,,,,35,0.41584596,2.856055975,0.010449206,0.11979121,,,,,,,,
,5543,,,,,35,,,,,0.461970896,3.336547136,0.011633174,0.116682865,,,,
0.0001,5549,,,,,,,,,,,,,,,,,
,5549,0.399248034,2.843916893,0.01426946,0.100586884,36,,,,,,,,,,,,
0.0001,5599,,,,,,,,,,,,,,,,,
,5599,0.360864043,2.819396734,0.011659543,0.067264833,36,,,,,,,,,,,,
0.0001,5649,,,,,,,,,,,,,,,,,
,5649,0.436021745,3.12485671,0.008972323,0.114563733,36,,,,,,,,,,,,
,5697,,,,,36,0.405807316,2.860020399,0.01057431,0.109230936,,,,,,,,
,5697,,,,,36,,,,,0.47595945,3.436789036,0.012129282,0.120151393,,,,
0.0001,5699,,,,,,,,,,,,,,,,,
,5699,0.265497118,1.351963878,0.002915106,0.127385616,37,,,,,,,,,,,,
0.0001,5749,,,,,,,,,,,,,,,,,
,5749,0.232008114,1.5178442,0.010657595,0.069566101,37,,,,,,,,,,,,
0.0001,5799,,,,,,,,,,,,,,,,,
,5799,0.411734164,2.625055313,0.004967972,0.144260645,37,,,,,,,,,,,,
0.0001,5849,,,,,,,,,,,,,,,,,
,5849,0.353882879,2.237370014,0.016297769,0.113848105,37,,,,,,,,,,,,
,5851,,,,,37,0.404019594,2.75965333,0.010974243,0.11708001,,,,,,,,
,5851,,,,,37,,,,,0.453296542,3.260638475,0.010954657,0.116277978,,,,
0.0001,5899,,,,,,,,,,,,,,,,,
,5899,0.433085591,3.36989522,0.008432753,0.087663323,38,,,,,,,,,,,,
0.0001,5949,,,,,,,,,,,,,,,,,
,5949,0.451283991,2.798477173,0.006647797,0.164788455,38,,,,,,,,,,,,
0.0001,5999,,,,,,,,,,,,,,,,,
