loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,epoch,step,lr-Adam,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_step,loss_val
1.579437494,11.59700584,0.107063502,0.312673748,95,3455,,,,,,,,,,,,
1.834432006,15.08459473,0.043712031,0.282260269,96,3491,,,,,,,,,,,,
,,,,,3499,1.00E-06,,,,,,,,,,,
,,,,97,3499,,0.842805028,6.855921745,0.018829985,0.138382867,,,,,,,
1.593006253,12.68986702,0.06385164,0.260167956,97,3527,,,,,,,,,,,,
,,,,,3549,1.00E-06,,,,,,,,,,,
,,,,98,3549,,3.159902334,27.09449387,0.156173438,0.294279337,,,,,,,
1.868643045,14.04480076,0.126210466,0.337952733,98,3563,,,,,,,,,,,,
,,,,,3599,1.00E-06,,,,,,,,,,,
,,,,99,3599,,0.106475659,0.279690295,0.004882479,0.073624156,,,,,,,
,,,,99,3599,,,,,,2.433645248,20.58506012,0.042643875,0.332495213,,,
1.929537892,16.15626907,0.068215623,0.245695189,99,3599,,,,,,,,,,,,
1.700230718,13.63430119,0.109381177,0.227419063,100,3635,,,,,,,,,,,,
,,,,,3649,1.00E-06,,,,,,,,,,,
,,,,101,3649,,1.813977838,16.04682159,0.011062833,0.198232725,,,,,,,
1.982604504,16.93234634,0.059479374,0.229890555,101,3671,,,,,,,,,,,,
,,,,,3699,1.00E-06,,,,,,,,,,,
,,,,102,3699,,0.761300445,4.910194874,0.008618764,0.261662215,,,,,,,
1.600147367,13.19838428,0.060255315,0.220053673,102,3707,,,,,,,,,,,,
1.780738354,14.38075066,0.05986435,0.282799065,103,3743,,,,,,,,,,,,
,,,,,3749,1.00E-06,,,,,,,,,,,
,,,,104,3749,,1.066479087,9.766194344,0.054135527,0.035724029,,,,,,,
,,,,104,3779,,,,,,2.308370829,17.41957664,0.049201779,0.517210901,,,
1.60377264,12.18010426,0.063649684,0.322112441,104,3779,,,,,,,,,,,,
,,,,,3799,1.00E-06,,,,,,,,,,,
,,,,105,3799,,2.513922691,15.29893494,0.049065337,0.934963822,,,,,,,
1.919698119,15.3571434,0.055818003,0.328165621,105,3815,,,,,,,,,,,,
,,,,,3849,1.00E-06,,,,,,,,,,,
,,,,106,3849,,3.81174159,32.76378632,0.031913947,0.503448844,,,,,,,
1.652968884,12.62402153,0.048652034,0.341914773,106,3851,,,,,,,,,,,,
1.834672093,14.52833366,0.04534027,0.336498201,107,3887,,,,,,,,,,,,
,,,,,3899,1.00E-06,,,,,,,,,,,
,,,,108,3899,,1.111508965,10.53202915,0.033752777,0.024553157,,,,,,,
1.974932551,16.54142189,0.060272422,0.260517806,108,3923,,,,,,,,,,,,
,,,,,3949,1.00E-06,,,,,,,,,,,
,,,,109,3949,,0.419359952,2.609311581,0.001095655,0.157333136,,,,,,,
,,,,109,3959,,,,,,2.356853247,18.62125206,0.069314934,0.425413251,,,
1.75529623,14.28759289,0.076108538,0.250428498,109,3959,,,,,,,,,,,,
1.967837811,15.65153694,0.111185178,0.291499078,110,3995,,,,,,,,,,,,
,,,,,3999,1.00E-06,,,,,,,,,,,
,,,,111,3999,,1.93914628,17.41516304,0.038213126,0.159416646,,,,,,,
1.977689743,15.77070808,0.082542479,0.318076789,111,4031,,,,,,,,,,,,
,,,,,4049,1.00E-06,,,,,,,,,,,
,,,,112,4049,,1.010832787,8.788094521,0.016367478,0.11565578,,,,,,,
1.987726808,15.95482254,0.13056244,0.261682123,112,4067,,,,,,,,,,,,
,,,,,4099,1.00E-06,,,,,,,,,,,
,,,,113,4099,,1.840422273,16.81603813,0.10496787,0.053850554,,,,,,,
1.761108279,14.14611053,0.058301415,0.28819564,113,4103,,,,,,,,,,,,
,,,,114,4139,,,,,,1.738297343,12.46478081,0.051803853,0.440015465,,,
1.584154487,11.89984035,0.043792296,0.350377828,114,4139,,,,,,,,,,,,
,,,,,4149,1.00E-06,,,,,,,,,,,
,,,,115,4149,,0.70766747,2.405683994,0.002293728,0.464805335,,,,,,,
2.007441759,16.32727623,0.119334765,0.255379319,115,4175,,,,,,,,,,,,
,,,,,4199,1.00E-06,,,,,,,,,,,
,,,,116,4199,,0.37673378,0.544357955,0.020587549,0.301710427,,,,,,,
1.599504709,12.18320179,0.081186265,0.299998432,116,4211,,,,,,,,,,,,
1.632707,12.40319157,0.069035903,0.323351592,117,4247,,,,,,,,,,,,
,,,,,4249,1.00E-06,,,,,,,,,,,
,,,,118,4249,,3.898972034,32.91952133,0.308553994,0.298465848,,,,,,,
2.459968567,19.67198753,0.188287511,0.304482311,118,4283,,,,,,,,,,,,
,,,,,4299,1.00E-06,,,,,,,,,,,
,,,,119,4299,,4.323267937,35.96036911,0.052655611,0.674575269,,,,,,,
,,,,119,4319,,,,,,2.152816296,15.64126968,0.074898966,0.513790369,,,
1.621252775,12.15458775,0.045106903,0.360687196,119,4319,,,,,,,,,,,,
,,,,,4349,1.00E-06,,,,,,,,,,,
,,,,120,4349,,1.811422706,5.911318302,0.091778159,1.128512859,,,,,,,
1.739993691,13.55639267,0.067257792,0.317096591,120,4355,,,,,,,,,,,,
1.875654697,14.72734737,0.07139387,0.33152619,121,4391,,,,,,,,,,,,
,,,,,4399,1.00E-06,,,,,,,,,,,
,,,,122,4399,,3.695583344,29.09598732,0.021888491,0.764096081,,,,,,,
1.779177547,13.83693123,0.087768398,0.307716161,122,4427,,,,,,,,,,,,
,,,,,4449,1.00E-06,,,,,,,,,,,
,,,,123,4449,,0.28243053,1.03313458,0.023917831,0.15519926,,,,,,,
1.616445661,12.6103611,0.051692799,0.303716779,123,4463,,,,,,,,,,,,
,,,,,4499,1.00E-06,,,,,,,,,,,
,,,,124,4499,,0.568493545,4.629385471,0.032274697,0.073280297,,,,,,,
,,,,124,4499,,,,,,2.394138813,20.32697105,0.076325901,0.285115898,,,
1.966427326,16.04367065,0.087353796,0.274706483,124,4499,,,,,,,,,,,,
1.598428011,12.12632084,0.061489914,0.324305743,125,4535,,,,,,,,,,,,
,,,,,4549,1.00E-06,,,,,,,,,,,
,,,,126,4549,,3.659302711,29.97502899,0.213363752,0.448435724,,,,,,,
