lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_epoch,loss_val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1999,,,,,,,,,,,,,,123,1.212247014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,0.223869085,0.018115111,0.00060189,0.221455678,37,,,,,,,,,124,1.071351171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2049,,,,,,,,,,,,,,125,1.038957119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2049,1.108847857,7.255161285,0.006174428,0.377157211,37,,,,,,,,,126,1.132619381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2051,,,,,37,1.514990807,12.87568951,0.036985282,0.190436497,,,,,127,1.27152586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2099,,,,,,,,,,,,,,128,1.128286839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2099,3.63663888,35.41609192,0.007198959,0.087830871,38,,,,,,,,,129,1.120200276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2105,,,,,38,1.239041924,10.4095583,0.024698488,0.173387423,,,,,130,1.273342371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2149,,,,,,,,,,,,,,131,0.845147371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2149,1.648376942,14.83474922,0.01196476,0.152937263,39,,,,,,,,,132,1.306439519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2159,,,,,39,,,,,1.170256972,10.25564861,0.016145648,0.128546432,133,0.932617962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2159,,,,,39,1.131525993,9.390354156,0.030569647,0.161920682,,,,,134,1.210852265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2199,,,,,,,,,,,,,,135,0.944777191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2199,1.57479322,15.31390095,0.036381137,0.007021836,40,,,,,,,,,136,0.954879284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2213,,,,,40,1.230689883,10.23100471,0.031371884,0.176217631,,,,,137,0.965725839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2249,,,,,,,,,,,,,,138,1.05538547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2249,0.523602486,4.709723473,0.004186116,0.048444007,41,,,,,,,,,139,0.960035861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2267,,,,,41,1.379324436,11.90093994,0.03052772,0.158703074,,,,,140,1.219142437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2299,,,,,,,,,,,,,,141,1.06545043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2299,1.433634043,11.49810505,0.01775616,0.266067326,42,,,,,,,,,142,1.013395905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2321,,,,,42,1.434887171,12.26593781,0.033995852,0.174297497,,,,,143,0.993055046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2349,,,,,,,,,,,,,,144,1.064054966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2349,4.744663239,42.88186646,0.111693166,0.344782889,43,,,,,,,,,145,1.037388325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2375,,,,,43,1.372783661,11.54384232,0.024783626,0.193615794,,,,,146,0.996015847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,2399,,,,,,,,,,,,,,147,1.016178608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2399,0.455173552,3.753463984,0.006371783,0.073455364,44,,,,,,,,,148,1.107533574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2429,,,,,44,,,,,1.076634169,8.62059021,0.015896652,0.198678479,149,1.169832468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
